"Cube Title","Product Id","CANSIM Id",URL,"Cube Notes","Archive Status",Frequency,"Start Reference Period","End Reference Period","Total number of dimensions"
"Monthly average retail prices for selected products","18100245",,"https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=1810024501",1;2;5;6,"CURRENT - a cube available to the public and that is current","Monthly","2017-01-01","2026-06-01","2",

"Dimension ID","Dimension name","Dimension Notes","Dimension Definitions"
"1","Geography",,""
"2","Products",,""

"Dimension ID","Member Name","Classification Code","Member ID","Parent Member ID",Terminated,"Member Notes","Member Definitions"
"2","Potatoes, 4.54 kilograms","","30","","",3,
"2","Potatoes, per kilogram","","46","","",3,
"2","Sweet potatoes, per kilogram","","47","","",3,
"2","Tomatoes, per kilogram","","31","","",3,
"2","Cabbage, per kilogram","","32","","",3,
"2","Carrots, 1.36 kilograms","","33","","",4,
"2","Onions, per kilogram","","34","","",3,
"2","Onions, 1.36 kilograms","","35","","",4,
"2","Celery, unit","","36","","",3,
"2","Cucumber, unit","","37","","",3,
"2","Mushrooms, 227 grams","","38","","",4,
"2","Iceberg lettuce, unit","","48","","",3,
"2","Romaine lettuce, unit","","49","","",3,
"2","Broccoli, unit","","39","","",3,
"2","Peppers, per kilogram","","40","","",3,
"2","Squash, per kilogram","","85","","",3,
"2","Salad greens, 142 grams","","86","","",4,
"2","Frozen french fried potatoes, 750 grams","","50","","",4,
"2","Frozen green beans, 750 grams","","51","","",4,
"2","Frozen broccoli, 500 grams","","52","","",3,
"2","Frozen corn, 750 grams ","","53","","",4,
"2","Frozen mixed vegetables, 750 grams ","","54","","",4,
"2","Frozen peas, 750 grams","","55","","",4,
"2","Frozen pizza, 390 grams","","87","","",4,
"2","Frozen spinach, 300 grams","","88","","",4,
"2","Frozen strawberries, 600 grams","","89","","",3,
"2","White bread, 675 grams","","56","","",4,
"2","Flatbread and pita, 500 grams ","","90","","",4,
"2","Crackers and crisp breads, 200 grams ","","91","","",3,
"2","Cookies and sweet biscuits, 300 grams ","","92","","",4,
"2","Dry or fresh pasta, 500 grams","","57","","",4,
"2","Brown rice, 900 grams ","","93","","",4,
"2","White rice, 2 kilograms","","94","","",4,
"2","Cereal, 400 grams","","58","","",4,
"2","Wheat flour, 2.5 kilograms","","59","","",4,
"2","White sugar, 2 kilograms","","60","","",4,
"2","Apple juice, 2 litres","","61","","",4,
"2","Orange juice, 2 litres","","62","","",4,
"2","Roasted or ground coffee, 340 grams","","63","","",4,
"2","Tea (20 bags)","","64","","",3,
"2","Ketchup, 1 litre","","65","","",4,
"2","Vegetable oil, 3 litres","","66","","",4,
"2","Canola oil, 3 litres","","95","","",4,
"2","Olive oil, 1 litre","","96","","",4,
"2","Baby food, 128 millilitres","","67","","",4,
"2","Infant formula, 900 grams ","","97","","",4,
"2","Peanut butter, 1 kilogram","","68","","",4,
"2","Mayonnaise, 890 millilitres ","","69","","",4,
"2","Canned baked beans, 398 millilitres","","70","","",4,
"2","Canned tomatoes, 796 millilitres","","71","","",4,
"2","Canned soup, 284 millilitres","","72","","",4,
"2","Canned beans and lentils, 540 millilitres","","73","","",3,
"2","Canned corn, 341 millilitres","","98","","",4,
"2","Canned peach, 398 millilitres","","99","","",4,
"2","Canned pear, 398 millilitres","","100","","",4,
"2","Dried lentils, 900 grams","","74","","",4,
"2","Dry beans and legumes, 900 grams ","","101","","",4,
"2","Tofu, 350 grams ","","102","","",4,
"2","Hummus, 227 grams","","103","","",4,
"2","Salsa, 418 millilitres","","104","","",4,
"2","Pasta sauce, 650 millilitres","","105","","",4,
"2","Salad dressing, 475 millilitres","","106","","",4,
"2","Almonds, 200 grams","","107","","",4,
"2","Peanuts, 450 grams","","108","","",4,
"2","Sunflower seeds, 400 grams ","","109","","",4,
"2","Deodorant, 85 grams","","75","","",4,
"2","Toothpaste, 100 millilitres","","76","","",4,
"2","Shampoo, 400 millilitres","","77","","",4,
"2","Laundry detergent, 4.43 litres","","110","","",4,

Symbol Legend
Description,Symbol
"not available for a specific reference period","..",
"less than the limit of detection","<LOD",
"value rounded to 0 (zero) where there is a meaningful distinction between true zero and the value that was rounded","0s",
"data quality: excellent","A",
"data quality: very good","B",
"data quality: good","C",
"data quality: acceptable","D",
"use with caution","E",
"too unreliable to be published","F",
"not applicable","...",
"preliminary","p",
"revised","r",
"suppressed to meet the confidentiality requirements of the Statistics Act","x",
"terminated","t",

"Survey Code","Survey Name"
"2301","Consumer Price Index"

"Subject Code","Subject Name"
"18","Prices and price indexes"

"Note ID",Note
1,"Average price estimates for these products are derived using transaction data from Canadian grocery retailers. The composition of a given product category may change over time due to evolving consumer purchasing patterns and product availability. Therefore, users should exercise caution when comparing average prices over time as average prices may not be fully comparable from one month to another and should not be used as a representative measure of pure price change through time. Note: Data are subject to revision."
2,"For concepts and definitions, see the <a href="https://www150.statcan.gc.ca/n1/pub/62f0014m/62f0014m2022007-eng.htm" rel="external noopener noreferrer" target="_blank">Methodological Supplement for the Monthly Average Retail Prices Table (opens new window)</a> publication, available in the Prices Analytical Series (62F0014M). Additional information, including product details, can be obtained by contacting the <a href="mailto:statcan.cpddisseminationunit-dpcunitedediffusion.statcan@statcan.gc.ca">Consumer Prices Division</a>."
3,"Specific size - In most cases, a specific size or quantity can be easily identified as the measure of best fit for a particular product. For some products, a specific size or quantity is the most commonly purchased by a considerable amount (for example, 1 dozen eggs). Other products have multiple high-sale sizes over a large range (for example, milk). In this case we calculate separate average prices for each size (1 litre, 2 litres and 4 litres) in order to provide a fuller picture. Other products such as fresh produce and meats are often sold by weight, and provided as a price per kilogram. In these cases, one kilogram is applied as the specific size. These products are then standardized to ensure that the price per one kilogram is included in the average price calculation. The specific size alone provides sufficient coverage to produce a robust measure."
4,"Standardized size - For certain products which are available to consumers in a wide variety of package sizes, prices for products within a set range of package sizes are standardized before the average price calculation. For example, prices for blocks of cheese ranging in size from 400 grams to 800 grams are adjusted to represent a 500 grams block of cheese, and are presented as such in the average prices table."
5,"With the release of data for the January 2024 reference month, this table has been updated to incorporate data from additional grocery retailers, increasing the sample of price data used in the calculation of monthly average prices. This enhancement expands the coverage and improves the quality of the data, while ensuring the representativeness of prices paid by Canadian consumers. Users should continue to exercise caution when comparing average prices over time and when interpreting the 1-month change for January 2024 and the 12-month change for the next 12 months. "
6,"With the release of data for the September 2025 reference month, this table has been updated to include data from the Yukon and the Northwest Territories. Please note that for data confidentiality reasons, not all 110 average prices are available for these two regions."

"Correction ID","Correction Date","Correction Note"
